,index,city_st
1359,"Fairfax District, CA",1
2034,"Fairfax, VA",1
387,"Fairfield, CA",3
874,"Fairfield, CT",2
2275,"Fairfield, IA",1
2216,"Fairfield, OH",1
487,"Fairmont, WV",2
360,"Fall River, MA",3
992,"Fallon, NV",1
1688,"Falls Church, VA",1
742,"Falmouth, MA",2
1771,"Famington, NM",1
878,"Fargo, ND",2
914,"Farmingdale, NY",2
482,"Farmington, CT",2
2317,"Farmington, ME",1
1271,"Farmington, MO",1
889,"Farmington, NM",2
913,"Farrell, PA",2
362,"Fayetteville, AR",3
1539,"Fayetteville, GA",1
312,"Fayetteville, NC",3
2071,"Fayetteville, WV",1
1429,"Federal Way, WA",1
1487,"Fergus Falls, MN",1
219,"Ferguson, MO",4
1871,"Ferndale, MI",1
1899,"Festus, MO",1
2336,"Findlay, OH",1
2373,"Fircrest, WA",1
1223,"Fishers, IN",1
2205,"Fitchburg, MA",1
344,"Flagstaff, AZ",3
676,"Flemington, NJ",2
1295,"Flensburg, Germany",1
200,"Flint, MI",4
2221,"Flora, IL",1
2478,"Florence, AL",1
2630,"Florence, Italy",1
439,"Florence, OR",2
1288,"Florence, SC",1
1676,"Floresville, TX",1
975,"Florissant, MO",1
1424,"Flossmoor, IL",1
80,"Flower Mound, TX",7
1377,"Folsom, CA",1
1824,"Fond du Lac, WI",1
233,"Fontana, CA",4
381,"Forest Grove, OR",3
1765,"Forest Lake, MN",1
2354,"Forks, WA",1
2617,"Fort Atkinson, WI",1
573,"Fort Bragg, CA",2
192,"Fort Collins, CO",4
1579,"Fort Dodge, IA",1
1793,"Fort Fort Stockton, TX",1
1523,"Fort Kent, ME",1
266,"Fort Lauderdale, FL",3
2406,"Fort Mill, SC",1
2132,"Fort Mitchell, KY",1
1814,"Fort Monroe, VA",1
67,"Fort Myers, FL",8
1189,"Fort Payne, AL",1
2200,"Fort Pierce, FL",1
2380,"Fort Scott, KS",1
714,"Fort Smith, AR",2
933,"Fort Stockton, TX",2
530,"Fort Walton Beach, FL",2
879,"Fort Washington, CA",2
370,"Fort Wayne, IN",3
96,"Fort Worth, TX",6
1627,"Fortuna, CA",1
472,"Fostoria, OH",2
2552,"Fountain Valley, CA",1
1674,"Foxborough, MA",1
353,"Framingham, MA",3
1684,"Frankford, DE",1
1631,"Franklin Township (Somerset County), NJ",1
2353,"Franklin Township, NJ",1
2377,"Franklin, KY",1
2293,"Franklin, MA",1
2007,"Franklin, NJ",1
677,"Franklin, TN",2
1459,"Franklin, VA",1
584,"Franklinville, NJ",2
2201,"Frankton, IN",1
1584,"Fraser, CO",1
1782,"Frederick, MD",1
1542,"Fredericksburg, TX",1
93,"Fredericksburg, VA",7
