id,date,city_st,location,size,size_str,urls,collection
30184,2020-05-30,"Boise, ID","State Capitol, Boise, ID",5.0,5.0,['https://www.idahopress.com/news/local/small-boise-protest-responds-to-killing-of-george-floyd/article_cc2a2aa5-21de-5dd1-8c73-0f58b6faa03e.html'],Count Love
30185,2020-05-30,"Wilmington, NC","Wilmington, NC",100.0,100.0,['https://www.wwaytv3.com/2020/05/30/america-is-tired-of-being-tired-activists-rally-in-the-rain-for-justice-for-george-floyd/'],Count Love
30186,2020-05-30,"New Paltz, NY","New Paltz, NY",100.0,100.0,['https://www.recordonline.com/news/20200530/george-floyd-hundreds-at-new-paltz-rally-call-for-change-solidarity-amid-violence'],Count Love
30190,2020-05-30,"Peterborough, NH","Peterborough, NH",,nan,['https://www.sentinelsource.com/news/local/regions-residents-turn-out-to-protest-death-of-george-floyd/article_2402cf0e-05d9-5286-8213-1b45ca3f0d7a.html'],Count Love
30191,2020-05-30,"Dublin, NH","Dublin, NH",,nan,['https://www.sentinelsource.com/news/local/regions-residents-turn-out-to-protest-death-of-george-floyd/article_2402cf0e-05d9-5286-8213-1b45ca3f0d7a.html'],Count Love
30192,2020-05-30,"Keene, NH","Keene, NH",,nan,['https://www.sentinelsource.com/news/local/regions-residents-turn-out-to-protest-death-of-george-floyd/article_2402cf0e-05d9-5286-8213-1b45ca3f0d7a.html'],Count Love
30195,2020-05-30,"Annapolis, MD","Annapolis, MD",,nan,['https://www.capitalgazette.com/news/ac-cn-annapolis-george-floyd-protest-20200530-5l5pyil5mfaqjdxzw2q6w4gb5m-story.html'],Count Love
30196,2020-05-30,"New London, CT","Parade Plaza, New London, CT",100.0,100.0,['https://ctmirror.org/2020/05/30/people-throughout-connecticut-protest-the-death-of-george-floyd/'],Count Love
30197,2020-05-30,"Louisville, KY","Jefferson Square, Louisville, KY",200.0,200.0,"['https://www.theday.com/article/20200530/NWS01/200539961', 'https://www.courier-journal.com/story/news/local/2020/05/30/breonna-taylor-protest-louisville-police-smash-protesters-supplies/5295840002/']",Count Love
30200,2020-05-30,"Los Angeles, CA","Boyle Heights, Los Angeles, CA",300.0,300.0,['https://www.dailynews.com/about-300-protest-police-brutality-racism-in-mariachi-plaza'],Count Love
