,date,city_st,size,size_str,urls,collection
71,2020-01-01,"Charleston, SC",,"Two, one","['https://www.live5news.com/2020/05/30/rally-george-floyd-saturday-marion-square/', 'https://www.postandcourier.com/news/charleston-quiets-as-curfew-takes-effect-sunday-evening-ravenel-bridge-never-broached/article_9ee48430-a360-11ea-9c62-7f805d02e8d3.html', 'https://www.live5news.com/2020/06/02/video-charleston-protester-arrested-minutes-after-praising-police/', 'https://www.cbsnews.com/news/protester-knelt-down-to-tell-police-he-loves-and-respects-them-they-threw-him-in-jail-charleston-south-carolina/', 'https://www.live5news.com/2020/06/02/video-charleston-protester-arrested-minutes-after-praising-police/', 'https://www.cbsnews.com/news/protester-knelt-down-to-tell-police-he-loves-and-respects-them-they-threw-him-in-jail-charleston-south-carolina/', 'https://www.cbsnews.com/news/protester-knelt-down-to-tell-police-he-loves-and-respects-them-they-threw-him-in-jail-charleston-south-carolina/', 'https://www.postandcourier.com/news/he-told-charleston-police-i-am-not-your-enemy-then-he-was-handcuffed/article_e7de4b0a-a43f-11ea-a019-1f9e6a20ea55.html']",Wikipedia
72,2020-05-30,"Columbia, SC",,,"['https://web.archive.org/web/20200530222429/https://wpde.com/news/local/protests-in-columbia-saturday', 'https://www.wyff4.com/article/protest-in-columbia-turns-violent-rocks-thrown-police-cars-set-on-fire/32720367']",Wikipedia
73,2020-05-30,"Greenville, SC",300.0,about 300 people,['https://www.greenvilleonline.com/story/news/2020/05/30/george-floyd-protests-greenville-sc-peace-center-downtown-death-police-officer-knelt-on-neck/5290498002/'],Wikipedia
74,2020-05-31,"Myrtle Beach, SC",200.0,hundreds,"['https://wpde.com/news/local/protests-happening-in-downtown-myrtle-beach-for-george-floyd', 'https://www.myrtlebeachonline.com/news/local/article243137326.html', 'https://wpde.com/news/local/protesters-block-entrance-to-myrtle-beach-police-department', 'https://wpde.com/news/local/myrtle-beach-declares-civil-emergency-05-31-2020', 'https://www.wmbfnews.com/2020/05/31/businesses-strongly-encouraged-close-during-myrtle-beach-curfew/']",Wikipedia
75,2020-06-05,"Brookings, SD",200.0,hundreds,['https://brookingsregister.com/article/hundreds-gather-to-say-his-name'],Wikipedia
76,2020-06-03,"Mitchell, SD",,,['https://www.chronicle-tribune.com/news/local/locals-protest-death-of-george-floyd/article_44cbd10d-395c-55a2-bfad-1ec0295e43eb.html'],Wikipedia
77,2020-06-04,"Pierre, SD",,at least 30 people,['https://twitter.com/JackieIversArch/status/1268724534674423810'],Wikipedia
78,2020-06-04,"Pine Ridge, SD",,two,['https://twitter.com/1K_Latrell3/status/1268675952386674690'],Wikipedia
79,2020-05-29,"Rapid City, SD",,,"['https://www.wthr.com/article/george-floyds-uncle-decries-violent-protests', 'https://www.kotatv.com/content/news/George-Floyds-family-speaks-out-as-they-participate-in-Rapid-City-memory-walk-570901841.html', 'https://rapidcityjournal.com/news/rapid-city-walks-in-memory-of-george-floyd/article_19f16456-e1c0-5a19-9d2e-165458548d79.html', 'https://twitter.com/Ajzionts/status/1268249275319885828']",Wikipedia
80,2020-03-01,"Sioux Falls, SD",,"7, Seventy","['https://www.keloland.com/news/local-news/gov-noem-releases-statement-on-nationwide-unrest/', 'https://www.keloland.com/news/local-news/protestors-set-to-gather-in-downtown-sioux-falls-sunday-evening/', 'https://www.wsmv.com/news/protests-continue-at-police-department-courthouse-in-nashville/article_32c50c96-a295-11ea-b2a3-3b5e484e3a30.html', 'Missing', 'https://www.ksl.com/article/46758807/demonstrators-peacefully-protest-for-justice-for-george-floyd-in-downtown-salt-lake-city']",Wikipedia
81,2020-05-30,"Brattleboro, VT",200.0,hundreds,['https://www.ibrattleboro.com/living/activism/2020/05/hundreds-of-protestors-fill-brattleboros-main-street-in-response-to-floyd-killing/'],Wikipedia
82,2020-05-30,"Burlington, VT",,1200,"['https://www.wcax.com/content/news/Hundreds-protest-in-Burlington-following-death-of-George-Floyd--570897381.html', 'https://vtdigger.org/2020/05/30/hundreds-protest-in-burlington-and-montpelier-after-death-of-george-floyd/']",Wikipedia
